-4044	-3297	7867	5471	5308	-5129	641	1805	272	1
-7635	-4617	15692	6340	13452	-10198	-26	-692	4610	1
7957	-865	-19313	7484	-26131	12442	4396	15198	-19274	-1
6727	14655	-8307	-31860	10732	5603	-8123	-26386	22918	-1
4505	7497	-6771	-15586	2244	4493	-3657	-11762	9443	-1
8911	3894	-19094	-3689	-18890	12381	1181	4620	-9191	-1
7282	4259	-15041	-5688	-13138	9773	136	1028	-4765	-1
-2284	-1856	4447	3074	3012	-2899	357	1003	170	1
8250	12315	-13137	-25032	1092	8680	-5609	-17933	13688	-1
-7728	-5004	15710	7238	12910	-10217	228	143	3823	1
7845	11081	-12819	-22241	-303	8454	-4849	-15448	11413	-1
5478	-861	-13433	5810	-18554	8650	3230	11138	-13944	-1
7102	15051	-8990	-32592	10431	6051	-8252	-26784	23122	-1
-5899	-2652	12602	2625	12348	-8173	-725	-2870	5897	1
-12515	-11254	23800	19538	14189	-15539	2792	8263	-1834	1
7187	4807	-14530	-7111	-11679	9452	-330	-524	-3165	-1
-5370	-5790	9712	10769	4038	-6361	1938	5997	-3237	1
-2930	-3582	5079	6925	1302	-3336	1383	4350	-2843	1
5493	-1202	-13647	6666	-19327	8782	3500	12032	-14845	-1
9486	9490	-17540	-17192	-8708	11472	-2855	-8711	3836	1
6673	3778	-13849	-4902	-12306	8996	221	1261	-4685	-1
9625	5927	-19725	-8257	-16730	12822	-49	599	-5540	-1
-6753	-6821	12452	12401	6059	-8146	2083	6368	-2898	1
-5248	-4364	10165	7313	6706	-6629	898	2561	134	1
8668	9255	-15723	-17158	-6711	10296	-3058	-9448	4993	-1
-9339	-7906	18017	13359	11637	-11753	1705	4912	-116	1
8543	6704	-16755	-10911	-11770	10919	-1154	-3148	-1239	-1
8905	13189	-14233	-26761	957	9402	-5974	-19092	14510	-1
8220	9022	-14783	-16879	-5842	9686	-3088	-9584	5359	-1
-7041	-5549	13798	9050	9652	-8993	969	2654	962	1
8660	9005	-15835	-16543	-7220	10364	-2869	-8824	4373	-1
-4740	-3423	9452	5316	7165	-6154	412	989	1445	1
-12252	-11514	23041	20360	12831	-15055	3116	9356	-3062	1
-7830	-5606	15638	8663	11937	-10180	643	1512	2508	-1
6503	2344	-14193	-1457	-14847	9194	1245	4640	-7975	-1
6714	9797	-10809	-19811	406	7136	-4390	-14018	10564	-1
-5288	-3623	10647	5446	8410	-6928	309	605	2110	1
-7255	-4500	14851	6303	12542	-9654	61	-371	4094	1
-6995	-6115	13395	10486	8304	-8742	1426	4172	-579	1
-6240	-4801	12288	7732	8801	-8006	769	2056	1148	1
7464	10400	-12272	-20807	-593	8089	-4504	-14334	10494	-1
6836	7774	-12151	-14711	-4278	7968	-2777	-8663	5149	-1
7011	704	-16252	2955	-19895	10494	2745	9652	-13245	-1
-7669	-5497	15313	8501	11678	-9969	635	1497	2440	1
7792	7707	-14453	-13903	-7339	9451	-2278	-6931	2928	-1
7094	1024	-16281	2214	-19464	10518	2537	8969	-12605	-1
6693	7849	-11773	-14992	-3682	7725	-2902	-9088	5647	-1
7005	10131	-11324	-20447	234	7473	-4512	-14397	10793	-1
5411	4543	-10459	-7647	-6824	6822	-959	-2749	-30	-1
7058	-7445	-20610	23209	-37420	13169	9037	30506	-34111	-1
6969	4472	-14189	-6424	-11731	9227	-174	-24	-3554	-1
-8654	-9252	15692	17159	6676	-10276	3062	9463	-5015	1
6294	6134	-11721	-11004	-6122	7663	-1770	-5367	2133	-1
7988	13111	-12102	-27182	3588	8025	-6343	-20389	16276	-1
-6161	-4005	12516	5809	10259	-8140	194	154	3009	1
-7182	-7704	13009	14304	5486	-8520	2561	7918	-4227	1
-6994	-5254	13840	8349	10138	-9015	764	1977	1614	1
7680	4854	-15674	-6897	-13083	10191	-135	161	-4103	-1
-7961	-7318	15057	12824	8686	-9834	1899	5663	-1573	1
9371	7474	-18318	-12264	-12658	11940	-1358	-3757	-1055	-1
-4657	-4736	8571	8632	4110	-5608	1461	4474	-2081	1
6265	3406	-13076	-4252	-11855	8491	316	1544	-4759	-1
6659	6339	-12480	-11267	-6801	8156	-1756	-5292	1870	-1
10470	2863	-23325	-85	-25845	15092	2705	9792	-15161	-1
-9420	-7422	18462	12104	12917	-12032	1295	3546	1291	1
7978	12025	-12644	-24493	1302	8357	-5512	-17636	13530	-1
7513	6688	-14322	-11561	-8661	9350	-1624	-4789	930	-1
-8398	-7270	16117	12413	10120	-10517	1657	4828	-515	1
-6656	-4879	13234	7646	9905	-8617	634	1574	1843	1
-9616	-7396	18938	11908	13569	-12339	1183	3160	1777	1
-9116	-6870	18029	10938	13167	-11744	1013	2634	2047	1
-6323	-4943	12412	8027	8754	-8088	839	2280	967	1
7436	6265	-14361	-10562	-9330	9368	-1335	-3835	15	-1
7112	9275	-12024	-18251	-1919	7911	-3803	-12040	8382	-1
9990	5963	-20572	-8101	-17768	13369	95	1104	-6232	-1
8776	16488	-12208	-35036	8389	8151	-8573	-27715	23195	-1
-7819	-7873	14430	14297	7068	-9440	2393	7311	-3293	1
8736	6361	-17392	-9928	-13092	11324	-799	-1957	-2529	-1
6280	7409	-11024	-14177	-3361	7234	-2757	-8639	5411	-1
-6082	-4280	12187	6543	9433	-7932	442	983	2140	1
-1366	2093	4330	-6111	8635	-2758	-2251	-7568	8265	1
9282	996	-21484	3752	-26204	13874	3585	12614	-17372	-1
-7571	-5161	15256	7733	12096	-9927	422	800	3087	1
6889	2784	-14879	-2290	-15086	9643	1087	4148	-7682	-1
-8976	-5112	18612	6669	16489	-12090	-274	-1619	6225	1
6266	2878	-13353	-2941	-12984	8661	723	2892	-6106	-1
9343	14894	-14384	-30699	3256	9527	-7080	-22724	17915	-1
5731	3921	-11540	-5889	-9125	7509	-331	-642	-2300	-1
4877	1524	-10767	-513	-11634	6970	1114	4076	-6577	-1
-7061	-5362	13944	8574	10112	-9083	816	2145	1481	1
-10955	-6538	22560	8881	19487	-14661	-105	-1214	6836	1
-6176	-3508	12811	4565	11366	-8322	-196	-1138	4308	1
-10150	-7947	19918	12918	14024	-12980	1357	3693	1519	1
-6056	-4420	12052	6909	9055	-7848	562	1383	1727	1
7003	5544	-13711	-9063	-9548	8937	-983	-2703	-894	-1
-4490	-3757	8686	6313	5690	-5665	786	2248	58	1
-4747	-5306	8486	9985	3168	-5562	1857	5780	-3340	1
8888	8296	-16745	-14629	-9430	10940	-2217	-6642	2076	-1
-8526	-4841	17688	6297	15696	-11490	-272	-1577	5953	1
-8820	-7275	17115	12141	11399	-11161	1463	4151	379	1
-7249	-6802	13637	12020	7613	-8910	1836	5509	-1785	1
-4896	-5162	8916	9528	3932	-5837	1677	5169	-2652	1
6801	-2878	-17620	11703	-26895	11317	5403	18442	-21922	-1
8605	8819	-15800	-16117	-7449	10339	-2752	-8438	4017	-1
-11697	-9640	22702	16081	15135	-14804	1934	5483	524	1
7517	10409	-12393	-20792	-737	8168	-4485	-14269	10402	-1
8686	5345	-17803	-7440	-15108	11573	-41	553	-5011	-1
5958	9013	-9425	-18374	1043	6230	-4142	-13255	10189	-1
-3103	-2199	6208	3377	4778	-4041	238	542	1051	1
-8418	-7712	15935	13495	9241	-10407	1988	5921	-1596	1
8154	10928	-13633	-21654	-1574	8976	-4586	-14553	10359	-1
8278	3099	-18007	-2141	-18652	11666	1496	5612	-9858	-1
-5817	-3663	11879	5191	9938	-7723	92	-156	3142	1
-9429	-7296	18548	11786	13212	-12085	1194	3211	1631	1
8518	9546	-15215	-17980	-5633	9974	-3352	-10435	6056	-1
-9505	-7675	18530	12675	12636	-12080	1450	4053	829	1
-5915	-5827	10984	10495	5622	-7182	1711	5201	-2162	1
-8164	-4909	16793	6708	14444	-10913	-50	-812	5002	1
-8620	-6639	16973	10696	12146	-11059	1067	2855	1572	1
-7792	-4159	16303	5096	14910	-10585	-453	-2118	6116	1
-8570	-6599	16876	10630	12080	-10995	1060	2834	1567	1
9345	13338	-15200	-26836	-68	10027	-5882	-18753	13945	-1
8339	14233	-12348	-29732	4912	8203	-7042	-22678	18384	-1
-2367	-2825	4139	5423	1200	-2717	1064	3337	-2120	1
-8138	-6494	15904	10660	10982	-10367	1182	3273	906	1
-8621	-7947	16292	13943	9357	-10642	2074	6190	-1761	1
6418	-3049	-16803	11871	-26092	10786	5355	18253	-21537	-1
-9111	-7353	17765	12138	12122	-11581	1386	3873	806	1
-5574	-5993	10089	11136	4227	-6608	1998	6181	-3316	1
-4342	-5309	7525	10265	1927	-4943	2050	6448	-4216	1
