18973	-7806	-9113	-7725	-24617	-3712	-4948	-8930	9497	1
-7055	-17081	-5289	6764	-2984	-602	17695	4617	-12283	-1
-19108	-16094	-1225	12445	10242	1362	23989	10548	-20055	-1
-1889	2246	1545	483	3344	515	-673	794	-302	-1
-11101	-17666	-4322	8850	899	-34	20534	6668	-15293	1
41132	2599	-11280	-20549	-41512	-6110	-26214	-20627	29137	1
1107	-14936	-6820	2369	-10232	-1653	11200	418	-5787	1
-4614	12293	6730	-146	12300	1934	-7045	1497	2243	-1
-11794	-19510	-4914	9547	505	-109	22405	7132	-16573	1
7075	-11347	-7062	-1238	-14304	-2221	4848	-2783	-153	1
-3206	-15966	-5966	4672	-6339	-1087	14550	2631	-9174	1
-19714	14	5953	9603	20661	3053	11564	9804	-13413	-1
-5597	-15698	-5128	5785	-3671	-691	15742	3803	-10685	1
-21249	-22228	-3242	14683	8759	1085	30114	12011	-24199	-1
2988	-14383	-7147	1345	-11866	-1889	9657	-553	-4265	1
-24710	-25036	-3418	16917	10679	1342	34374	13915	-27785	1
7332	-11685	-7286	-1297	-14778	-2294	4966	-2888	-126	1
7511	-11964	-7461	-1330	-15136	-2350	5082	-2960	-126	1
-8610	-931	2193	4377	8455	1241	5795	4343	-6269	-1
7380	-12492	-7651	-1163	-15319	-2382	5578	-2860	-447	1
8028	-12121	-7685	-1552	-15773	-2445	4903	-3207	157	1
-7661	3791	3957	2995	10328	1562	1490	3564	-3554	-1
-17117	-19736	-3407	12185	5945	692	25710	9795	-20296	-1
-13674	-16773	-3159	9930	4137	453	21337	7890	-16654	-1
-4051	-15976	-5715	5086	-5459	-958	15055	3052	-9754	1
18153	-7604	-8778	-7365	-23636	-3565	-4626	-8536	9027	1
-17304	-11218	349	10617	11314	1566	19062	9335	-16692	-1
-1844	-14577	-5774	3738	-6922	-1160	12649	1863	-7639	1
-10675	-1808	2435	5554	10085	1473	7703	5427	-8058	-1
-15809	6661	7662	6407	20608	3108	3999	7431	-7845	-1
-1157	-14290	-5856	3347	-7467	-1238	12018	1503	-7046	1
-10223	-15137	-3489	7929	1515	81	18013	6067	-13588	-1
6814	-11202	-6920	-1139	-13942	-2166	4887	-2662	-268	1
-31514	-16491	2346	18568	22998	3243	31589	16745	-28675	-1
