-4952	7558	-2197	-9838	7602	-2881	9673	3610	2975	1
13994	6478	-24002	-17614	-3254	9232	-8775	16723	-4159	-1
-14626	3298	14159	1982	9995	-9255	15885	-7739	5883	1
3906	13240	-19107	-23568	6578	3025	5172	15725	584	1
-490	7267	-7293	-11611	5022	-30	5304	6663	1290	1
8468	8798	-19818	-18617	1225	5777	-2058	14837	-1772	1
12277	-12688	-1120	14521	-14885	7380	-19947	-3099	-6453	-1
1334	8745	-11109	-14940	5012	1198	4582	9456	844	1
12515	8551	-24458	-20251	-1105	8364	-6010	17622	-3298	-1
-7699	10077	-1599	-12565	10723	-4545	13923	3994	4370	1
11448	8321	-22915	-19340	-684	7671	-5165	16603	-2941	-1
12164	-4830	-9510	1757	-9679	7615	-14602	4417	-5212	-1
-21513	7455	17999	-1334	16406	-13510	25100	-8863	9051	1
17355	11081	-33073	-26815	-2040	11568	-8852	23686	-4692	1
15061	4646	-23308	-15161	-5026	9845	-10996	15747	-4831	-1
11121	-11161	-1375	12611	-13266	6698	-17847	-2486	-5794	-1
3861	10116	-15661	-18448	4556	2873	3131	12669	124	1
15101	6846	-25744	-18771	-3607	9957	-9567	17905	-4510	1
12820	-1026	-14434	-4779	-7539	8185	-12680	8586	-4872	-1
-17685	4562	16496	1458	12461	-11168	19590	-8801	7201	1
12258	12788	-28744	-27034	1808	8365	-2944	21528	-2557	-1
-7710	7578	1126	-8483	9093	-4650	12267	1569	3993	1
14431	-11581	-4933	11630	-15314	8805	-21225	-419	-7076	-1
-128	10205	-10920	-16585	6751	317	6923	9775	1605	1
-8437	10575	-1244	-13006	11445	-4999	14945	3924	4718	1
8097	225	-10065	-4444	-4190	5204	-7427	6268	-2944	-1
-7502	6624	1909	-7032	8357	-4554	11436	802	3771	1
9538	10147	-22581	-21357	1535	6517	-2160	16942	-1960	1
-6278	7914	-976	-9753	8546	-3718	11151	2965	3517	1
-9617	7628	3384	-7605	10147	-5871	14084	193	4702	1
13989	-2934	-13782	-2256	-9415	8861	-15046	7615	-5594	-1
-26941	6567	25546	2847	18732	-17028	29587	-13778	10912	1
13675	-2756	-13593	-2387	-9130	8666	-14633	7552	-5451	-1
-17008	7750	12216	-4083	14186	-10609	21082	-5212	7439	1
8928	4856	-16098	-12417	-1603	5918	-5117	11368	-2543	-1
